DATE,SP500,NASDAQCOM,DJIA,RU2000PR,DEXJPUS,DEXUSEU,DEXCHUS,DEXMXUS,DEXUSAL,VIXCLS,USDONTD156N,USD1MTD156N,USD3MTD156N,USD12MD156N,BAMLHYH0A0HYM2TRIV,BAMLCC0A1AAATRIV,GOLDAMGBD228NLBM,DCOILWTICO
2015-08-07,2077.57,5043.54,17373.38,2999.45,124.27,0.9125752874612154,6.2087,16.178,1.3526308670363858,13.39,0.126,0.19125,0.3116,0.83585,1059.15,569.4,1091.35,43.87
2015-08-10,2104.18,5101.8,17615.17,3038.65,124.55,0.9095870474804439,6.2094,16.1535,1.3506212857914641,12.23,0.1265,0.19255,0.3142,0.8467,1058.73,565.85,1094.8,44.94
2015-08-11,2084.07,5036.79,17402.84,3009.98,124.9,0.9056330374932077,6.3232,16.3335,1.37211855104281,13.71,0.1275,0.19345,0.31435,0.8387,1054.53,570.2,1113.25,43.11
2015-08-12,2086.05,5044.39,17402.51,3004.62,123.87,0.8930166101089481,6.3845,16.296,1.3559322033898304,13.61,0.128,0.19399999999999998,0.3093,0.82215,1050.85,569.3,1116.8,43.22
2015-08-13,2083.39,5033.56,17408.25,2994.08,124.32,0.8973438621679827,6.3982,16.3735,1.3585110718652358,13.49,0.1285,0.1976,0.3205,0.8349,1053.1,566.78,1117.35,42.27
2015-08-14,2091.54,5048.24,17477.4,3013.84,124.27,0.9000900090009001,6.3908,16.3655,1.3557483731019522,12.83,0.1305,0.1996,0.32445,0.8441,1052.84,567.3,1116.75,42.45
2015-08-17,2102.44,5091.7,17545.18,3044.66,124.33,0.9026900162484204,6.3937,16.3995,1.3539128080151637,13.02,0.1325,0.2046,0.33285,0.8491,1052.93,569.49,1117.3,41.93
2015-08-18,2096.92,5059.35,17511.34,3019.3,124.39,0.9067827348567283,6.3928,16.422,1.3635124079629124,13.79,0.1325,0.20275,0.33285,0.84435,1052.25,567.39,1119.15,42.58
2015-08-19,2079.61,5019.05,17348.73,2989.71,124.1,0.9040773890245004,6.3956,16.526,1.366867140513942,15.25,0.133,0.20199999999999999,0.33335,0.8496,1050.12,569.46,1123.2,40.75
2015-08-20,2035.73,4877.49,16990.69,2914.02,123.54,0.8928571428571428,6.3875,16.663,1.3592496941688188,19.14,0.133,0.2004,0.3291,0.8576,1047.86,571.68,1137.95,41.0
2015-08-21,1970.89,4706.04,16459.75,2874.91,122.11,0.8805917576611484,6.3887,16.925,1.3618412093149939,28.03,0.133,0.1994,0.3291,0.84785,1044.8,572.28,1149.35,40.45
